Timestamp,Value
2026-09-23 04:01:01,84.6
2026-09-23 04:10:44,84.6
2026-09-23 04:20:42,241.51
2026-09-23 04:30:52,84.6
2026-09-23 04:40:47,84.6
2026-09-23 04:50:45,84.59
2026-09-23 05:01:02,84.59
2026-09-23 05:10:46,84.59
2026-09-23 05:20:46,84.59
2026-09-23 05:30:52,84.59
2026-09-23 05:40:46,84.59
2026-09-23 05:50:50,84.59
2026-09-23 06:01:03,84.59
2026-09-23 06:10:45,84.59
2026-09-23 06:20:46,241.56
2026-09-23 06:30:54,84.59
2026-09-23 06:40:48,84.59
2026-09-23 06:50:49,84.59
2026-09-23 07:00:58,84.59
2026-09-23 07:10:45,84.59
2026-09-23 07:20:47,84.59
2026-09-23 07:30:57,84.59
2026-09-23 07:40:43,84.59
2026-09-23 07:51:21,84.6
2026-09-23 08:01:03,84.6
2026-09-23 08:10:48,84.6
2026-09-23 08:20:45,84.6
2026-09-23 08:30:49,84.6
2026-09-23 08:41:23,84.6
2026-09-23 08:50:43,241.6
2026-09-23 09:00:57,84.59
2026-09-23 09:10:51,84.59
2026-09-23 09:20:51,84.59
2026-09-23 09:31:03,84.59
2026-09-23 09:40:45,84.59
2026-09-23 09:51:56,84.59
2026-09-23 10:01:03,84.59
2026-09-23 10:11:23,84.59
2026-09-23 10:20:48,84.59
2026-09-23 10:31:05,84.59
2026-09-23 10:40:46,84.59
2026-09-23 10:50:45,84.58
2026-09-23 11:01:01,84.58
2026-09-23 11:10:49,84.58
2026-09-23 11:21:00,84.58
2026-09-23 11:30:57,84.58
2026-09-23 11:40:48,84.58
2026-09-23 11:50:42,84.6
2026-09-23 12:01:03,84.6
2026-09-23 12:10:47,84.6
2026-09-23 12:20:48,84.6
2026-09-23 12:31:02,84.6
2026-09-23 12:40:56,84.6
2026-09-23 12:50:47,84.58
2026-09-23 13:01:09,84.58
2026-09-23 13:10:46,84.58
2026-09-23 13:20:49,84.58
2026-09-23 13:30:54,84.58
2026-09-23 13:40:48,84.58
2026-09-23 13:50:52,84.58
2026-09-23 14:01:04,84.58
2026-09-23 14:11:24,84.58
2026-09-23 14:20:59,84.58
2026-09-23 14:30:54,84.58
2026-09-23 14:40:50,84.58
2026-09-23 14:50:53,84.58
2026-09-23 15:01:00,84.58
2026-09-23 15:10:51,84.58
2026-09-23 15:20:50,84.58
2026-09-23 15:30:53,241.68
2026-09-23 15:40:47,84.58
2026-09-23 15:50:47,84.56
2026-09-23 16:01:00,84.56
2026-09-23 16:10:49,84.56
2026-09-23 16:20:54,84.56
2026-09-23 16:31:05,84.56
2026-09-23 16:40:45,84.56
2026-09-23 16:50:46,84.57
2026-09-23 17:01:04,241.69
2026-09-23 17:10:50,84.57
2026-09-23 17:20:47,84.57
2026-09-23 17:30:51,84.57
2026-09-23 17:40:50,241.69
2026-09-23 17:50:43,84.57
2026-09-23 18:01:00,241.69
